RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
9,California,1,388400,370800,347400,332300,317300,305200,291e3,278400,264400,254700,243200,236900,227900,221e3,216400,220700,230600,238700,244700,248900,255100,260500,263200,264100,262800,261e3,263900,263700,266700,262900,265300,262400,260700,258100,255800,255500,251900,250500,246200,244700,243500,244100,244900,243800,244400,243700,246200,247200,249600,254800,259300,265e3,271100,278100,286600,291200,298800,305900,309400,311100,314600,324600,335600,345400,353100,357300,358200,359500,361100,364700,365700,368300,368500,370800,373700,374700,376500,377500,381100,382500,382600,382300,383200,387900,391e3,395900,395700,398800,398300,400100,399200,399800,401800,406700,411300,411200,409800,410400,413900,415500,415700,416800,419700,420600,421200,419800,421600,421700,425600,427300,432100,436200,438600,439700,441600,448500,457500,462800,467900,473e3,479e3,481900,482600,482800,483300,483100,483500,486100,487200,485600,483200,487100,491200,496500,496400,497600,502800
54,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191800,192900,194100,195400,196900,198700,2e5,201e3,201100,202400,202800,203500,202900,203e3,203300,204300,205600,206500,207500,208100,209300,211500,212700,213600,214300,215800,217800,218700,221200,221100,220800,219e3,217700,218e3,221e3,225400,228e3,228200,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240500,245300,251800,260400,261400,258100,252600,252400,244700,236900,218e3,204800,195300,195100,194600,196e3,195100,198200,207e3,209600,210800,210300,212900,215800,217900,218800,215100,212700,209e3,216900,220500,228700,230900,234600,235900,234700,232600,231200,231400,229100,226700,232e3,233100,234e3,227200,224600,224800,226200,228e3,227700,226600,227400,227800,228900,228300,226400,228200,232100,235300,238800,238e3,236300,233100,237900,242e3,242800,244300,246700,249e3,246e3,243100,244700,248200,249400,256800,261700,272600,274400,276e3,275e3,270400,271600,272400,279200,281500,287100,289300,291500,292700,295100,296300,298100,294600,294200,290900,294e3,296e3,301500,298500,294900,295500,304300,322100,
14,Florida,4,204200,196500,190900,186500,183800,18e4,175200,169300,163800,156500,15e4,143500,138e3,132500,127800,125400,126600,127300,129e3,128900,130800,130800,129800,127900,126700,126300,125200,123900,120800,117400,114900,115100,116700,117e3,114600,110300,108e3,109200,112600,114300,116e3,116100,116600,116100,116500,118e3,119600,120700,121200,122500,124200,125400,125500,125500,126600,128e3,130300,132500,135e3,135200,135700,137100,139400,141200,142400,144500,146700,147800,15e4,150100,15e4,147800,147400,147900,148700,149900,151700,152400,153500,154800,157100,157800,157900,158e3,16e4,162100,165700,166700,167900,166800,168100,169300,170800,172500,174500,176700,177400,177600,178400,179700,181100,183200,184400,185800,186400,187200,189e3,191400,193900,195300,195300,196500,197300,198700,199300,200300,201500,203300,206700,211e3,215300,216100,215500,214e3,213100,213800,215900,219100,223100,224900,226900,228900,229900,228400,226600,226100,228200
21,Illinois,5,210100,205500,191400,182700,179300,180300,181400,180800,178400,175900,170500,168700,164300,160100,154200,149300,150900,154700,159e3,161100,162300,165900,168600,171400,166600,161900,155700,155900,156100,155300,151400,150100,151400,153300,153400,150600,147400,141700,137500,136800,139700,142200,142700,141100,138500,138500,136300,134900,133600,134600,136100,138e3,138900,141300,139300,138900,139600,140100,141e3,139500,139e3,138800,141700,146700,153800,158e3,161300,163600,164800,166500,165500,166900,165200,164e3,162400,163800,165e3,167100,171600,174e3,174300,172200,172500,174300,174200,174500,173400,172700,172500,168600,166700,163e3,160900,158400,156900,157200,158300,160700,162400,163900,163900,165300,164500,165300,167200,170500,172500,173e3,174300,175100,175400,172900,170600,169800,169200,170400,172200,174600,177600,180200,185500,187700,187300,188300,189500,188600,185400,183200,187100,186500,188700,193300,201100,205200,204800,201700,198900
47,Pennsylvania,6,147500,146800,145e3,141800,141200,141800,142700,141100,139100,136700,136e3,136400,138700,139e3,137600,136200,136200,138500,141e3,141500,142500,143400,143800,144100,144200,145100,144e3,140800,138500,135400,135e3,135100,137300,138800,140900,141700,139900,136600,133400,133300,133600,133800,132200,131400,131700,134700,137700,140300,14e4,140100,139500,140500,140600,139700,138400,137500,139800,142e3,143600,143400,143e3,143500,143200,143600,144500,145e3,144400,143600,142700,143300,142700,143700,143500,142200,141100,140500,141100,142900,144700,145400,144700,144700,145700,146700,147400,147100,146500,146500,148e3,148400,149300,148600,148500,146900,147900,149600,149200,149500,149200,151600,151e3,151200,150900,151900,153100,153800,154100,153700,154500,156100,157500,158600,158700,158200,157100,157300,158600,159800,161500,161300,163600,162200,162900,161300,160800,160300,160400,160600,162400,162900,164700,168e3,170800,173100,171600,172100,
44,Ohio,7,109300,107400,106700,106100,106400,105900,103900,101e3,94600,89500,85100,84100,83900,85700,89200,93800,98e3,100700,103200,105300,107e3,106200,102500,101100,100600,101300,102800,103900,101e3,96500,91900,91800,92300,95700,95400,91900,85700,84e3,86100,9e4,93700,94400,93e3,91300,90700,92400,91300,89400,88200,90600,96100,98800,102500,102700,102900,101900,101600,102800,103e3,101400,100100,98800,102500,105700,110100,111100,110300,108e3,109e3,108700,109700,108200,11e4,111600,113300,115e3,116700,117900,118300,118200,117700,118800,116e3,116900,116200,117800,118300,118500,119800,119700,119600,119600,116e3,115300,115e3,119700,121100,123300,123300,123900,123300,123200,123500,124600,125600,126400,127700,128300,129e3,129e3,128700,128200,127500,127700,128800,130400,131600,133500,135400,138800,138600,137400,134600,133600,133200,133500,133900,134900,135600,137100,139300,142500,145100,144600,143900,143300,
30,Michigan,8,95e3,91600,87400,82600,82300,80700,8e4,76700,80200,75300,69700,56900,53700,50800,50800,49600,53200,57e3,62100,64200,76800,80200,81600,70400,67400,67400,68700,69300,68200,64200,62e3,60100,67700,68800,70400,63300,61800,59500,57900,58700,61e3,63600,64800,64100,63300,64400,65400,65800,63400,63400,64900,67200,68600,70500,71600,71500,65200,66600,69100,78400,81400,83600,85100,86800,91100,95300,97500,97e3,90800,90100,90700,95700,95700,95600,98500,103600,108e3,110200,111400,110400,106500,102500,104800,109600,114600,116300,118700,120300,120400,119500,119e3,117500,121200,121700,125e3,125100,127300,127800,126500,126300,125800,126300,125900,129200,151500,154900,154500,135200,133800,135200,134600,135400,133900,134300,134600,137600,159900,162500,163500,145100,146600,146500,145400,143100,142300,141700,142e3,142100,164e3,164900,166800,150300,153100,153800,150600,148900,
16,Georgia,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108900,108100,104900,100100,95300,95400,96200,97500,96900,96900,97200,97400,98300,99900,102600,104500,105500,106800,110400,113900,116500,116800,118500,12e4,123100,125900,129700,130700,130600,129500,129100,129100,129400,129200,128400,129800,133400,137500,14e4,14e4,140600,140300,142e3,143100,144900,146e3,150900,152600,154100,151400,152300,154300,155800,156200,156100,157900,159600,159900,158700,158700,158300,158800,157700,157500,157800,160200,161e3,162800,162800,166e3,166400,167900,167200,167800,167800,168800,170400,172400,175400,177200,180400,181100,182800,181300,181200,180600,179600,181500,182400,186600,187200,189900,191700,193e3,192600,192600,193300,
36,North Carolina,10,154900,153100,148700,147300,147500,147300,146500,147600,145600,145100,143800,149900,151700,150400,146200,144900,146600,147600,148900,150200,150700,149500,150900,152300,152600,149300,146300,146600,147e3,146800,147300,148200,149600,149900,149600,149700,147600,146400,144800,146200,146100,147e3,145200,145500,144800,146700,146200,148e3,148600,149700,148300,148200,148e3,148200,147800,148400,150400,152300,152700,152500,151500,152400,151900,152400,153e3,153600,154300,154700,154700,155700,155200,155e3,153200,152700,153800,154e3,154600,153900,154900,155400,156400,157400,159700,163300,164600,165100,164500,165800,166300,165700,165100,164500,164200,164400,165500,165500,164500,164300,164900,167e3,167100,169e3,169400,172100,172900,173e3,171600,171e3,172600,173100,172600,173e3,174600,175900,175500,175900,177600,179400,181600,185700,189900,191800,191200,189900,189400,189600,191200,192500,193900,193700,193500,195e3,196600,199700,200100,201700,203500
